trip_id,vessel_id,vessel_type,dwt_tonnes,cargo_capacity_tonnes,engine_power_kw,sfoc_baseline_g_kwh,fuel_type,fuel_energy_density_relative,fuel_cost_per_tonne_usd,emission_factor_wtw_relative,distance_nm,speed_kn,cargo_load_tonnes,cargo_load_ratio,sea_state_douglas,wave_height_m,wind_speed_kn,weather_resistance_factor,voyage_duration_hr,physics_base_fuel_tonnes,engine_efficiency_degradation,auxiliary_power_kw,shore_power_available,fuel_consumed_tonnes,fuel_residual_tonnes,voyage_cost_usd,ghg_emissions_co2e_tonnes
TRIP-0023,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,3173.1,14.45,8822.8,0.4769,2,0.63,15.1,1.0476,219.59,91.786,1.032,851.7,0,110.852,19.066,326185.6,32.147
TRIP-0024,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,4127.2,13.87,73643.0,0.722,1,0.48,5.5,1.0083,297.56,452.93,1.016,1396.8,1,543.992,91.062,448813.76,1517.738
TRIP-0025,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,3941.1,11.87,62911.7,0.8987,1,0.43,9.4,1.0141,332.02,306.394,1.04,1085.9,0,385.033,78.639,262470.46,1378.418
TRIP-0026,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,1586.3,12.86,18677.4,0.5837,4,3.14,30.7,1.121,123.35,80.234,1.064,717.3,1,110.057,29.823,81485.34,394.004
TRIP-0027,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,1968.1,10.07,12675.6,0.3961,1,0.83,4.2,1.0063,195.44,58.209,1.064,683.9,0,92.564,34.355,75139.68,331.379
TRIP-0028,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,3683.5,15.39,62671.5,0.8953,2,0.65,11.3,1.0419,239.34,962.004,1.04,1103.7,0,1126.125,164.121,1093568.75,1407.656
TRIP-0029,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,815.8,11.51,76997.6,0.7549,1,0.62,8.3,1.0125,70.88,23.983,1.016,1433.7,1,29.734,5.751,107755.2,8.623
TRIP-0030,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,4061.8,10.47,62301.3,0.3665,4,2.87,23.0,1.1095,387.95,303.523,1.048,1747.3,0,470.049,166.526,406138.22,1311.437
TRIP-0031,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,2942.7,12.8,57014.1,0.8145,2,1.75,16.1,1.0491,229.9,566.975,1.04,1105.4,0,702.274,135.299,796251.4,379.228
TRIP-0032,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,839.7,10.72,97277.7,0.5722,1,0.49,11.8,1.0177,78.33,79.831,1.048,1747.5,0,116.991,37.16,112034.42,418.828
TRIP-0033,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,2219.3,14.34,40256.8,0.5751,3,0.99,25.3,1.0879,154.76,506.127,1.04,1138.7,1,647.398,141.271,731387.8,349.595
TRIP-0034,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,3993.7,14.31,98280.0,0.9635,5,3.41,36.0,1.154,279.08,190.546,1.016,1437.7,1,254.382,63.836,736769.6,73.771
TRIP-0035,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2816.0,13.46,28269.3,0.8834,4,2.76,19.5,1.1042,209.21,167.588,1.064,653.4,0,220.513,52.925,154468.06,789.437
TRIP-0036,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1926.0,11.52,54335.4,0.7762,4,2.02,20.4,1.1056,167.19,274.02,1.04,1099.6,1,374.519,100.499,375043.05,468.149
TRIP-0037,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,2046.4,15.12,26283.0,0.3755,6,3.77,33.7,1.1756,135.34,226.66,1.04,1106.9,0,318.655,91.995,221316.1,1140.785
TRIP-0038,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,2578.9,12.19,29236.0,0.9136,2,1.42,16.1,1.0491,211.56,253.518,1.064,649.8,0,341.06,87.542,341757.0,426.325
TRIP-0039,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1601.3,11.73,19304.1,0.6033,1,0.33,11.7,1.0175,136.51,58.878,1.064,710.7,1,80.983,22.105,76416.74,225.943
TRIP-0040,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,839.3,14.45,7476.5,0.4041,3,1.9,15.0,1.0725,58.08,23.86,1.032,928.6,1,29.845,5.985,94866.0,8.655
TRIP-0041,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,2533.3,13.46,39516.1,0.3874,3,2.5,16.9,1.0754,188.21,240.647,1.016,1381.7,1,310.185,69.538,266444.3,865.416
TRIP-0042,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,769.2,10.59,82174.3,0.8056,4,2.89,17.4,1.1011,72.63,115.465,1.016,1378.5,1,165.849,50.384,182056.55,207.311
TRIP-0043,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,3858.5,16.16,51392.2,0.5038,3,1.53,21.9,1.0829,238.77,544.508,1.016,1418.2,0,680.733,136.225,559971.74,1899.245
TRIP-0044,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,1999.2,12.61,87531.9,0.5149,3,2.23,22.7,1.084,158.54,563.369,1.048,1812.3,1,745.083,181.714,854591.3,402.345
TRIP-0045,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,2267.5,11.43,103724.6,0.6101,1,0.62,7.5,1.0112,198.38,247.44,1.048,1810.2,0,332.639,85.199,245736.18,1190.848
TRIP-0046,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,3073.0,16.43,52473.2,0.5144,1,0.4,5.7,1.0086,187.04,1123.727,1.016,1399.4,1,1274.712,150.985,1426683.2,688.344
TRIP-0047,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,4016.5,10.27,90546.4,0.5326,5,2.87,32.4,1.1486,391.09,754.195,1.048,1757.7,0,1194.533,440.338,1353486.3,645.048
TRIP-0048,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,4149.0,9.97,68835.0,0.9834,4,2.49,21.3,1.1069,416.15,504.453,1.04,1131.4,1,753.894,249.441,848533.4,407.103
TRIP-0049,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,4014.3,16.38,90234.2,0.8846,4,2.67,23.1,1.1097,245.07,638.568,1.016,1463.3,1,779.295,140.727,632350.1,2174.233
TRIP-0050,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,4088.7,12.27,19122.5,0.5976,4,3.21,24.0,1.111,333.23,377.828,1.064,667.5,0,529.615,151.787,520884.25,662.019
TRIP-0051,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,3878.7,14.74,15492.7,0.8374,3,2.21,22.6,1.0839,263.14,377.464,1.032,871.8,0,458.325,80.861,299961.5,1640.803
TRIP-0052,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,3300.9,11.45,93926.0,0.9208,1,0.46,4.2,1.0063,288.29,258.739,1.016,1419.8,1,328.521,69.782,280746.38,916.574
TRIP-0053,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,4081.5,11.85,149710.6,0.8807,1,0.78,8.7,1.0131,344.43,1111.748,1.048,1778.0,1,1490.202,378.454,1674222.2,804.709
TRIP-0054,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,4127.7,15.42,127707.6,0.7512,3,2.05,19.8,1.0797,267.68,1845.588,1.048,1739.1,1,2263.391,417.803,2524730.1,1222.231
TRIP-0055,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1602.4,11.48,30137.8,0.9418,3,2.16,23.2,1.0848,139.58,61.132,1.064,671.9,0,87.46,26.328,85968.8,244.013
TRIP-0056,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,1273.8,14.35,58733.5,0.5758,3,1.51,19.5,1.0793,88.77,332.012,1.016,1416.0,1,419.133,87.121,422676.35,523.916
TRIP-0057,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3077.1,14.19,79397.4,0.467,3,2.47,19.2,1.0788,216.85,433.78,1.048,1827.3,1,538.577,104.797,455090.06,1502.63
TRIP-0058,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,2530.2,11.59,25947.1,0.3707,3,1.54,24.5,1.0868,218.31,357.525,1.04,1062.9,0,508.777,151.252,583404.7,274.74
TRIP-0059,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,3044.8,10.55,112666.6,0.6627,3,1.18,17.3,1.0759,288.61,286.832,1.048,1730.3,1,422.682,135.85,297062.84,1513.202
TRIP-0060,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,3265.6,11.71,45545.3,0.6506,1,0.45,9.7,1.0146,278.87,506.077,1.04,1139.5,1,669.285,163.208,755463.5,361.414
TRIP-0061,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,1969.5,17.07,10733.6,0.5802,2,1.48,10.0,1.04,115.38,242.691,1.032,890.4,0,269.565,26.874,182930.3,965.043
TRIP-0062,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,821.6,13.34,21567.6,0.674,3,1.96,22.4,1.0836,61.59,39.752,1.064,669.2,0,53.094,13.342,59163.32,148.132
TRIP-0063,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2611.9,11.0,24635.1,0.7698,3,2.68,20.5,1.0808,237.45,101.107,1.064,649.7,0,143.968,42.861,107010.16,515.405
TRIP-0064,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,3078.8,9.28,11579.4,0.3619,7,5.87,43.0,1.2145,331.77,153.295,1.064,717.7,0,287.418,134.123,290797.1,359.273
TRIP-0065,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,3938.7,9.94,25107.8,0.7846,3,1.93,15.9,1.0738,396.25,108.636,1.064,702.9,0,168.937,60.301,149520.86,471.334
TRIP-0066,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,3340.8,11.91,25910.4,0.8097,1,0.6,11.5,1.0172,280.5,153.026,1.064,658.1,1,196.572,43.546,135124.64,703.728
TRIP-0067,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,4162.9,10.31,27383.6,0.3912,2,1.57,10.8,1.0412,403.77,468.008,1.04,1118.2,1,707.416,239.408,797407.6,382.005
TRIP-0068,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3260.1,10.64,153505.4,0.903,3,2.58,25.9,1.0889,306.4,287.878,1.048,1750.5,0,434.565,146.687,378460.7,1212.436
TRIP-0069,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,3563.4,9.26,27455.5,0.858,4,3.12,30.0,1.12,384.82,86.77,1.064,644.6,1,147.843,61.073,128567.54,412.482
TRIP-0070,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2172.2,12.24,25406.0,0.7939,4,3.36,26.6,1.1149,177.47,104.704,1.064,680.0,0,142.968,38.264,106390.16,511.825
TRIP-0071,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2467.9,10.95,19342.8,0.6045,1,0.44,8.3,1.0125,225.38,90.966,1.064,669.2,1,131.271,40.305,94638.02,469.95
TRIP-0072,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,3243.4,17.15,12432.5,0.672,3,2.7,22.5,1.0837,189.12,138.235,1.032,904.7,1,162.15,23.915,465320.0,47.023
TRIP-0073,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,2327.7,10.12,26052.5,0.8141,4,1.45,25.1,1.1126,230.01,67.01,1.064,663.9,1,111.161,44.151,99955.58,310.139
TRIP-0074,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,3164.1,11.6,83585.3,0.8195,3,2.15,19.6,1.0794,272.77,248.606,1.016,1395.2,0,329.299,80.693,285853.22,918.744
TRIP-0075,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,1983.2,15.45,123964.8,0.7292,3,2.61,14.1,1.0712,128.36,354.164,1.048,1788.6,0,463.192,109.028,400789.76,1292.306
TRIP-0076,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,3077.6,17.52,13270.7,0.7173,5,3.62,23.1,1.1347,175.66,138.284,1.032,891.6,1,172.731,34.447,494946.8,50.092
TRIP-0077,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,3869.5,10.63,152368.6,0.8963,2,0.88,9.8,1.0397,364.02,391.592,1.048,1748.6,0,544.287,152.695,376957.94,1948.547
TRIP-0078,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,1740.2,12.39,65551.2,0.3856,4,1.21,21.7,1.1076,140.45,457.592,1.048,1769.8,1,651.652,194.06,751817.2,351.892
TRIP-0079,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3228.8,12.08,97838.3,0.5755,3,1.3,18.3,1.0775,267.28,339.227,1.048,1744.1,0,462.012,122.785,399869.36,1289.013
TRIP-0080,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,1314.4,13.29,16973.8,0.5304,2,1.22,18.7,1.053,98.9,70.068,1.064,671.9,1,88.448,18.38,68087.76,316.644
TRIP-0081,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,2702.9,17.98,12513.9,0.6764,1,0.75,5.7,1.0086,150.33,126.745,1.032,923.8,0,138.985,12.24,404958.0,40.306
TRIP-0082,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,2452.3,11.76,138403.5,0.8141,3,1.77,19.0,1.0785,208.53,259.014,1.048,1806.5,0,351.758,92.744,313871.24,981.405
TRIP-0083,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,1501.8,16.62,60450.4,0.5927,3,1.64,12.4,1.0686,90.36,573.115,1.016,1385.6,0,691.102,117.987,789212.2,373.195
TRIP-0084,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,885.2,14.03,61678.0,0.3628,4,1.63,27.1,1.1157,63.09,296.635,1.048,1753.8,0,406.247,109.612,486371.7,219.373
TRIP-0085,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1698.8,10.85,104406.4,0.6142,1,0.68,9.9,1.0149,156.57,167.213,1.048,1814.8,1,241.223,74.01,184558.26,863.578
TRIP-0086,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,1843.3,12.35,90404.6,0.8863,1,0.8,6.8,1.0102,149.26,64.353,1.016,1447.4,0,82.107,17.754,258899.6,23.811
TRIP-0087,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,3385.1,11.54,100312.5,0.9835,2,1.28,18.8,1.0532,293.34,105.515,1.016,1417.1,1,139.882,34.367,416169.6,40.566
TRIP-0088,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1015.6,12.48,16564.1,0.5176,4,3.56,24.9,1.1123,81.38,41.382,1.064,643.2,0,55.911,14.529,61360.58,155.992
TRIP-0089,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,2633.1,15.49,72511.5,0.4265,2,1.27,15.2,1.0478,169.99,437.634,1.048,1813.0,1,536.232,98.598,453260.96,1496.087
TRIP-0090,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2049.5,9.96,30219.8,0.9444,3,1.83,12.7,1.0691,205.77,67.723,1.064,642.6,1,105.344,37.621,78563.28,377.132
TRIP-0091,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1940.4,13.62,86611.1,0.5095,2,1.03,15.9,1.0488,142.47,293.031,1.048,1759.7,1,362.18,69.149,259551.6,1296.604
TRIP-0092,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,1470.4,11.5,37767.4,0.3703,3,0.99,18.9,1.0784,127.86,39.17,1.016,1429.7,0,58.487,19.317,192763.6,16.961
TRIP-0093,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,3194.3,10.14,27918.8,0.3988,3,2.14,18.1,1.0772,315.02,139.23,1.04,1074.6,1,216.039,76.809,187760.42,602.749
TRIP-0094,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,3894.1,11.67,28667.0,0.4095,2,1.74,12.9,1.0443,333.68,563.619,1.04,1068.5,1,773.466,209.847,870062.6,417.672
TRIP-0095,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,3061.4,14.84,132295.6,0.7782,4,1.8,24.3,1.1115,206.29,1276.122,1.048,1752.1,0,1673.198,397.076,1880017.8,903.527
TRIP-0096,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,4092.9,12.08,96987.5,0.9509,5,2.92,37.2,1.1558,338.82,898.921,1.016,1454.5,0,1268.732,369.811,1424605.2,685.115
TRIP-0097,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1351.0,9.72,51630.3,0.7376,2,0.69,15.7,1.0485,138.99,135.566,1.04,1084.0,0,205.245,69.679,218732.75,256.556
TRIP-0098,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2424.6,12.64,26547.4,0.8296,3,2.48,17.8,1.0767,191.82,125.676,1.064,672.2,1,169.689,44.013,118457.18,607.487
TRIP-0099,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,3950.6,11.11,101928.0,0.5996,1,0.31,4.4,1.0066,355.59,883.094,1.048,1738.9,1,1192.98,309.886,1347278.0,644.209
TRIP-0100,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,1744.6,13.79,7577.7,0.4096,3,2.22,12.0,1.068,126.51,45.231,1.032,880.7,0,56.35,11.119,173580.0,16.341
TRIP-0101,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,1525.9,13.79,51304.4,0.7329,5,1.64,22.2,1.1333,110.65,334.608,1.04,1089.2,1,438.245,103.637,501319.5,236.652
TRIP-0102,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,4167.3,13.68,77957.3,0.4586,2,1.73,15.1,1.0476,304.63,544.791,1.048,1790.8,1,704.493,159.702,584504.54,1965.535
TRIP-0103,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1189.8,10.56,34532.1,0.4933,4,2.04,17.0,1.1005,112.67,132.586,1.04,1146.9,1,209.322,76.736,218105.9,261.653
TRIP-0104,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,2486.8,11.35,84231.8,0.4955,3,1.94,13.3,1.0699,219.1,564.877,1.048,1817.7,0,790.785,225.908,909363.5,427.024
TRIP-0105,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,3689.9,17.22,17966.7,0.9712,4,2.77,25.4,1.1131,214.28,504.33,1.032,842.7,0,587.681,83.351,380162.22,2103.898
TRIP-0106,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,1314.7,13.47,41073.4,0.4027,4,1.38,30.5,1.1207,97.6,48.459,1.016,1419.5,1,62.226,13.767,198732.8,18.046
TRIP-0107,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,3008.7,15.77,58759.8,0.5761,3,1.38,24.3,1.0865,190.79,1029.493,1.016,1449.7,1,1282.882,253.389,1435670.2,692.756
